record_type,id,category_id,name,description,price,image,available,sort_order
DATA,shashlyk-shashlyk-iz-koreyki,shashlyk,Шашлык из корейки,"Мясо баранина, лук репч.",50000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/sh1_1780586397687.jpg,true,10
DATA,shashlyk-shashlyk-govyadina,shashlyk,Шашлык говядина,"Мясо говядина, помидоры, лук репч.",27000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/sh2_1780586638455.jpg,true,20
DATA,shashlyk-kavkazskiy-govyadina,shashlyk,Кавказский говядина,"Мясо говядина, помидоры, лук репч.",50000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/sh3_1780586841741.jpg,true,30
DATA,shashlyk-shashlyk-iz-pozvonochnika-baranina,shashlyk,Шашлык из позвоночника (баранина),,60000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/sh4_1780586593141.jpg,true,40
DATA,shashlyk-napaleon,shashlyk,Напалеон,"Лук репчатый, фарш, курдюк",30000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/sh5_1780593802094.jpg,true,50
DATA,shashlyk-farsh,shashlyk,Фарш,"Лук репчатый, фарш",25000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/sh6_1780586735681.jpg,true,60
DATA,shashlyk-farsh-kavkazskiy,shashlyk,Фарш кавказский,"Лук репчатый, фарш",45000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/sh7_1780593847794.jpg,true,70
DATA,shashlyk-shashlyk-krylyshki,shashlyk,Шашлык Крылышки,"Куриная крылышки, лук репч.",25000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/sh8_1780586679819.jpg,true,80
DATA,shashlyk-shashlyk-baranina,shashlyk,Шашлык баранина,"Баранина, лук репч.",28000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/sh9_1780586703316.jpg,true,90
DATA,shashlyk-shashlyk-baranina-kavkaz,shashlyk,Шашлык баранина Кавказ,"Баранина, помидор., лук репч.",55000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/sh10_1780586777696.JPG,true,100
DATA,shashlyk-bbq-baranina-1kg,shashlyk,BBQ Баранина 1кг,"Баранина, помидор., лук, огурец",280000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/sh11_1780586445218.jpg,true,110
DATA,shashlyk-vyrezka,shashlyk,Вырезка,"Мясо говядина, лук репчатый",45000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/sh12_1780593961267.jpg,true,120
DATA,shashlyk-ovoshchnoy,shashlyk,Овощной,"Помидоры, перец болгарский, баклажаны, кабачки",20000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/sh13_1780586493096.jpg,true,130
DATA,shashlyk-dumba-kurdyuk-shashlyk,shashlyk,Думба (курдюк) шашлык,"Думба, лук репчатый",25000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/sh14_1780586515463.jpg,true,140
